time,temperature_2m,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation
2025-07-03T10:00,20.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T11:00,22.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T12:00,24.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T13:00,25.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T14:00,25.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T15:00,25.7,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T16:00,25.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T17:00,24.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T18:00,23.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T19:00,22.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T20:00,20.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T21:00,18.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T22:00,17.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-03T23:00,16.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T00:00,16.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T01:00,15.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T02:00,15.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T03:00,14.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T04:00,14.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T05:00,15.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T06:00,16.7,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T07:00,18.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T08:00,20.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T09:00,21.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T10:00,23.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T11:00,24.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T12:00,24.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T13:00,25.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T14:00,25.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T15:00,25.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T16:00,25.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T17:00,24.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T18:00,23.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T19:00,22.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T20:00,21.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T21:00,21.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T22:00,20.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-04T23:00,19.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T00:00,18.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T01:00,17.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T02:00,16.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T03:00,16.7,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T04:00,17.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T05:00,18.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T06:00,19.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T07:00,22.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T08:00,24.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T09:00,27.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T10:00,28.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T11:00,30.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T12:00,31.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T13:00,31.7,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T14:00,32.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T15:00,32.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T16:00,31.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T17:00,30.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T18:00,29.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T19:00,28.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T20:00,26.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T21:00,24.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T22:00,23.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-05T23:00,23.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T00:00,22.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T01:00,21.7,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T02:00,20.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T03:00,20.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T04:00,21.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T05:00,22.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T06:00,23.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T07:00,25.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T08:00,27.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T09:00,29.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T10:00,30.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T11:00,30.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T12:00,29.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T13:00,28.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T14:00,25.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T15:00,24.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T16:00,23.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T17:00,23.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T18:00,22.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T19:00,22.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T20:00,21.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
